[34m[1mwandb[0m: Initializing weave.
/home/hannah/.venv/lib/python3.12/site-packages/pydantic/_internal/_generate_schema.py:648: ArbitraryTypeWarning: <built-in function allocate_lock> is not a Python type (it may be an instance of an object), Pydantic will allow any object with no validation since we cannot even enforce that the input is an instance of the given type. To get rid of this error wrap the type with `pydantic.SkipValidation`.
  warnings.warn(
[36m[1mweave[0m: Logged in as Weights & Biases user: hannahvanderh.
[36m[1mweave[0m: View Weave data at https://wandb.ai/hannahvanderh-colorado-state-university/huggingface/weave
  0%|                                                                                                                                                     | 0/1476 [00:00<?, ?it/s][transformers] `causal_conv1d_fn` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[transformers] `chunk_gated_delta_rule` is falling back to its reference PyTorch implementation because `flash-linear-attention` is not installed. This is correct but much slower; install `flash-linear-attention` for the optimized kernel.
                                                                                                                                                                                   
{'loss': '0.7519', 'grad_norm': '2.835', 'learning_rate': '6.803e-08', 'rewards/chosen': '2.013', 'rewards/rejected': '1.848', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.1652', 'logps/chosen': '-75.61', 'logps/rejected': '-72.51', 'logits/chosen': '-1.359', 'logits/rejected': '-1.385', 'epoch': '0.01358'}
{'loss': '0.9141', 'grad_norm': '2.739', 'learning_rate': '1.003e-06', 'rewards/chosen': '1.932', 'rewards/rejected': '2.116', 'rewards/accuracies': '0.45', 'rewards/margins': '-0.1833', 'logps/chosen': '-72.6', 'logps/rejected': '-79.78', 'logits/chosen': '-1.409', 'logits/rejected': '-1.365', 'epoch': '0.1629'}
{'loss': '0.6864', 'grad_norm': '2.103', 'learning_rate': '1.088e-06', 'rewards/chosen': '2.076', 'rewards/rejected': '1.872', 'rewards/accuracies': '0.625', 'rewards/margins': '0.2042', 'logps/chosen': '-73.88', 'logps/rejected': '-72.25', 'logits/chosen': '-1.388', 'logits/rejected': '-1.414', 'epoch': '0.1765'}
{'loss': '0.7582', 'grad_norm': '2.568', 'learning_rate': '1.173e-06', 'rewards/chosen': '2.116', 'rewards/rejected': '2.044', 'rewards/accuracies': '0.6375', 'rewards/margins': '0.07248', 'logps/chosen': '-75.86', 'logps/rejected': '-75.17', 'logits/chosen': '-1.396', 'logits/rejected': '-1.39', 'epoch': '0.1901'}
{'loss': '0.831', 'grad_norm': '2.374', 'learning_rate': '1.259e-06', 'rewards/chosen': '2.11', 'rewards/rejected': '2.116', 'rewards/accuracies': '0.55', 'rewards/margins': '-0.005623', 'logps/chosen': '-73.56', 'logps/rejected': '-78.69', 'logits/chosen': '-1.42', 'logits/rejected': '-1.384', 'epoch': '0.2037'}
{'loss': '0.7794', 'grad_norm': '2.148', 'learning_rate': '1.344e-06', 'rewards/chosen': '1.968', 'rewards/rejected': '1.889', 'rewards/accuracies': '0.5125', 'rewards/margins': '0.07921', 'logps/chosen': '-75.4', 'logps/rejected': '-78.66', 'logits/chosen': '-1.388', 'logits/rejected': '-1.382', 'epoch': '0.2172'}
{'loss': '0.8039', 'grad_norm': '2.425', 'learning_rate': '1.429e-06', 'rewards/chosen': '2.131', 'rewards/rejected': '2.166', 'rewards/accuracies': '0.5375', 'rewards/margins': '-0.03505', 'logps/chosen': '-76.69', 'logps/rejected': '-78.87', 'logits/chosen': '-1.373', 'logits/rejected': '-1.392', 'epoch': '0.2308'}
{'loss': '0.7125', 'grad_norm': '2.183', 'learning_rate': '1.514e-06', 'rewards/chosen': '2.1', 'rewards/rejected': '1.945', 'rewards/accuracies': '0.575', 'rewards/margins': '0.1551', 'logps/chosen': '-79.72', 'logps/rejected': '-80.05', 'logits/chosen': '-1.372', 'logits/rejected': '-1.379', 'epoch': '0.2444'}
{'loss': '0.7758', 'grad_norm': '2.529', 'learning_rate': '1.599e-06', 'rewards/chosen': '2.043', 'rewards/rejected': '2.016', 'rewards/accuracies': '0.5', 'rewards/margins': '0.02673', 'logps/chosen': '-76.19', 'logps/rejected': '-76.86', 'logits/chosen': '-1.421', 'logits/rejected': '-1.4', 'epoch': '0.258'}
{'loss': '0.7976', 'grad_norm': '2.237', 'learning_rate': '1.684e-06', 'rewards/chosen': '1.985', 'rewards/rejected': '1.938', 'rewards/accuracies': '0.5', 'rewards/margins': '0.04653', 'logps/chosen': '-77.53', 'logps/rejected': '-76.69', 'logits/chosen': '-1.415', 'logits/rejected': '-1.407', 'epoch': '0.2716'}
                                                                                                                                                                                   
{'eval_loss': '0.8035', 'eval_runtime': '73.22', 'eval_samples_per_second': '4.248', 'eval_steps_per_second': '1.065', 'eval_rewards/chosen': '2.059', 'eval_rewards/rejected': '2.026', 'eval_rewards/accuracies': '0.5246', 'eval_rewards/margins': '0.03325', 'eval_logps/chosen': '-74.98', 'eval_logps/rejected': '-77.04', 'eval_logits/chosen': '-1.417', 'eval_logits/rejected': '-1.404', 'epoch': '0.2716'}
{'loss': '0.7373', 'grad_norm': '3.093', 'learning_rate': '1.769e-06', 'rewards/chosen': '2.228', 'rewards/rejected': '2.021', 'rewards/accuracies': '0.6375', 'rewards/margins': '0.2068', 'logps/chosen': '-78.57', 'logps/rejected': '-77.74', 'logits/chosen': '-1.416', 'logits/rejected': '-1.426', 'epoch': '0.2851'}
{'loss': '0.7223', 'grad_norm': '2.187', 'learning_rate': '1.854e-06', 'rewards/chosen': '2.061', 'rewards/rejected': '1.933', 'rewards/accuracies': '0.6125', 'rewards/margins': '0.1281', 'logps/chosen': '-76.65', 'logps/rejected': '-77.92', 'logits/chosen': '-1.418', 'logits/rejected': '-1.397', 'epoch': '0.2987'}
{'loss': '0.7798', 'grad_norm': '2.769', 'learning_rate': '1.939e-06', 'rewards/chosen': '1.922', 'rewards/rejected': '1.911', 'rewards/accuracies': '0.4875', 'rewards/margins': '0.01099', 'logps/chosen': '-75.6', 'logps/rejected': '-82.17', 'logits/chosen': '-1.424', 'logits/rejected': '-1.365', 'epoch': '0.3123'}
{'loss': '0.821', 'grad_norm': '3.106', 'learning_rate': '2.024e-06', 'rewards/chosen': '1.879', 'rewards/rejected': '1.931', 'rewards/accuracies': '0.475', 'rewards/margins': '-0.05233', 'logps/chosen': '-73.13', 'logps/rejected': '-79.27', 'logits/chosen': '-1.459', 'logits/rejected': '-1.429', 'epoch': '0.3259'}
{'loss': '0.8004', 'grad_norm': '2.483', 'learning_rate': '2.109e-06', 'rewards/chosen': '1.996', 'rewards/rejected': '1.981', 'rewards/accuracies': '0.5', 'rewards/margins': '0.01506', 'logps/chosen': '-76.47', 'logps/rejected': '-78.7', 'logits/chosen': '-1.43', 'logits/rejected': '-1.422', 'epoch': '0.3394'}
{'loss': '0.7428', 'grad_norm': '2.798', 'learning_rate': '2.194e-06', 'rewards/chosen': '1.989', 'rewards/rejected': '1.843', 'rewards/accuracies': '0.5625', 'rewards/margins': '0.1465', 'logps/chosen': '-79.73', 'logps/rejected': '-78.15', 'logits/chosen': '-1.405', 'logits/rejected': '-1.43', 'epoch': '0.353'}
{'loss': '0.6245', 'grad_norm': '2.463', 'learning_rate': '2.279e-06', 'rewards/chosen': '1.966', 'rewards/rejected': '1.671', 'rewards/accuracies': '0.625', 'rewards/margins': '0.2953', 'logps/chosen': '-75.5', 'logps/rejected': '-78.07', 'logits/chosen': '-1.426', 'logits/rejected': '-1.392', 'epoch': '0.3666'}
{'loss': '0.7396', 'grad_norm': '2.493', 'learning_rate': '2.364e-06', 'rewards/chosen': '1.982', 'rewards/rejected': '1.936', 'rewards/accuracies': '0.4875', 'rewards/margins': '0.04582', 'logps/chosen': '-76.88', 'logps/rejected': '-80.81', 'logits/chosen': '-1.435', 'logits/rejected': '-1.413', 'epoch': '0.3802'}
{'loss': '0.7116', 'grad_norm': '2.197', 'learning_rate': '2.449e-06', 'rewards/chosen': '1.738', 'rewards/rejected': '1.6', 'rewards/accuracies': '0.5', 'rewards/margins': '0.1374', 'logps/chosen': '-79.27', 'logps/rejected': '-80.1', 'logits/chosen': '-1.438', 'logits/rejected': '-1.392', 'epoch': '0.3938'}
{'loss': '0.6225', 'grad_norm': '2.624', 'learning_rate': '2.534e-06', 'rewards/chosen': '1.974', 'rewards/rejected': '1.648', 'rewards/accuracies': '0.6375', 'rewards/margins': '0.326', 'logps/chosen': '-80.45', 'logps/rejected': '-80.1', 'logits/chosen': '-1.402', 'logits/rejected': '-1.409', 'epoch': '0.4073'}
{'loss': '0.7705', 'grad_norm': '2.525', 'learning_rate': '2.619e-06', 'rewards/chosen': '1.793', 'rewards/rejected': '1.782', 'rewards/accuracies': '0.6', 'rewards/margins': '0.011', 'logps/chosen': '-80.03', 'logps/rejected': '-85.41', 'logits/chosen': '-1.426', 'logits/rejected': '-1.4', 'epoch': '0.4209'}
{'loss': '0.6818', 'grad_norm': '2.497', 'learning_rate': '2.704e-06', 'rewards/chosen': '1.83', 'rewards/rejected': '1.663', 'rewards/accuracies': '0.55', 'rewards/margins': '0.1673', 'logps/chosen': '-78.12', 'logps/rejected': '-78.66', 'logits/chosen': '-1.437', 'logits/rejected': '-1.435', 'epoch': '0.4345'}
{'loss': '0.7002', 'grad_norm': '1.889', 'learning_rate': '2.789e-06', 'rewards/chosen': '1.856', 'rewards/rejected': '1.72', 'rewards/accuracies': '0.575', 'rewards/margins': '0.1359', 'logps/chosen': '-79.16', 'logps/rejected': '-79.82', 'logits/chosen': '-1.418', 'logits/rejected': '-1.4', 'epoch': '0.4481'}
{'loss': '0.7419', 'grad_norm': '2.082', 'learning_rate': '2.874e-06', 'rewards/chosen': '1.928', 'rewards/rejected': '1.836', 'rewards/accuracies': '0.4625', 'rewards/margins': '0.09113', 'logps/chosen': '-79', 'logps/rejected': '-81.03', 'logits/chosen': '-1.456', 'logits/rejected': '-1.415', 'epoch': '0.4616'}
{'loss': '0.7803', 'grad_norm': '2.452', 'learning_rate': '2.959e-06', 'rewards/chosen': '1.68', 'rewards/rejected': '1.678', 'rewards/accuracies': '0.5', 'rewards/margins': '0.002719', 'logps/chosen': '-72.26', 'logps/rejected': '-77.95', 'logits/chosen': '-1.493', 'logits/rejected': '-1.447', 'epoch': '0.4752'}
{'loss': '0.7758', 'grad_norm': '2.42', 'learning_rate': '3.044e-06', 'rewards/chosen': '1.699', 'rewards/rejected': '1.688', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.01102', 'logps/chosen': '-80.05', 'logps/rejected': '-77.03', 'logits/chosen': '-1.438', 'logits/rejected': '-1.443', 'epoch': '0.4888'}
{'loss': '0.7583', 'grad_norm': '2.818', 'learning_rate': '3.129e-06', 'rewards/chosen': '1.579', 'rewards/rejected': '1.554', 'rewards/accuracies': '0.5625', 'rewards/margins': '0.02589', 'logps/chosen': '-78.51', 'logps/rejected': '-79.33', 'logits/chosen': '-1.456', 'logits/rejected': '-1.447', 'epoch': '0.5024'}
{'loss': '0.6689', 'grad_norm': '2.511', 'learning_rate': '3.214e-06', 'rewards/chosen': '1.813', 'rewards/rejected': '1.61', 'rewards/accuracies': '0.6', 'rewards/margins': '0.2028', 'logps/chosen': '-80.05', 'logps/rejected': '-82.39', 'logits/chosen': '-1.443', 'logits/rejected': '-1.444', 'epoch': '0.516'}
{'loss': '0.7167', 'grad_norm': '2.077', 'learning_rate': '3.299e-06', 'rewards/chosen': '1.668', 'rewards/rejected': '1.564', 'rewards/accuracies': '0.55', 'rewards/margins': '0.1038', 'logps/chosen': '-79.4', 'logps/rejected': '-80.1', 'logits/chosen': '-1.439', 'logits/rejected': '-1.464', 'epoch': '0.5295'}
{'loss': '0.6947', 'grad_norm': '2.62', 'learning_rate': '3.384e-06', 'rewards/chosen': '1.642', 'rewards/rejected': '1.498', 'rewards/accuracies': '0.5625', 'rewards/margins': '0.1434', 'logps/chosen': '-79.84', 'logps/rejected': '-82.72', 'logits/chosen': '-1.455', 'logits/rejected': '-1.416', 'epoch': '0.5431'}
{'eval_loss': '0.7466', 'eval_runtime': '73.22', 'eval_samples_per_second': '4.248', 'eval_steps_per_second': '1.065', 'eval_rewards/chosen': '1.714', 'eval_rewards/rejected': '1.641', 'eval_rewards/accuracies': '0.531', 'eval_rewards/margins': '0.07285', 'eval_logps/chosen': '-78.44', 'eval_logps/rejected': '-80.89', 'eval_logits/chosen': '-1.479', 'eval_logits/rejected': '-1.463', 'epoch': '0.5431'}
{'loss': '0.7168', 'grad_norm': '1.956', 'learning_rate': '3.469e-06', 'rewards/chosen': '1.729', 'rewards/rejected': '1.65', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.07893', 'logps/chosen': '-80.38', 'logps/rejected': '-80.92', 'logits/chosen': '-1.481', 'logits/rejected': '-1.486', 'epoch': '0.5567'}
{'loss': '0.7623', 'grad_norm': '2.444', 'learning_rate': '3.554e-06', 'rewards/chosen': '1.568', 'rewards/rejected': '1.542', 'rewards/accuracies': '0.525', 'rewards/margins': '0.02606', 'logps/chosen': '-83.84', 'logps/rejected': '-79.94', 'logits/chosen': '-1.437', 'logits/rejected': '-1.461', 'epoch': '0.5703'}
{'loss': '0.6857', 'grad_norm': '2.121', 'learning_rate': '3.639e-06', 'rewards/chosen': '1.63', 'rewards/rejected': '1.473', 'rewards/accuracies': '0.5875', 'rewards/margins': '0.1572', 'logps/chosen': '-80.88', 'logps/rejected': '-82.56', 'logits/chosen': '-1.486', 'logits/rejected': '-1.44', 'epoch': '0.5838'}
{'loss': '0.6555', 'grad_norm': '2.829', 'learning_rate': '3.724e-06', 'rewards/chosen': '1.721', 'rewards/rejected': '1.469', 'rewards/accuracies': '0.6', 'rewards/margins': '0.2522', 'logps/chosen': '-82.6', 'logps/rejected': '-81.42', 'logits/chosen': '-1.467', 'logits/rejected': '-1.466', 'epoch': '0.5974'}
{'loss': '0.7471', 'grad_norm': '2.8', 'learning_rate': '3.81e-06', 'rewards/chosen': '1.638', 'rewards/rejected': '1.618', 'rewards/accuracies': '0.5', 'rewards/margins': '0.02008', 'logps/chosen': '-82.69', 'logps/rejected': '-85.31', 'logits/chosen': '-1.466', 'logits/rejected': '-1.451', 'epoch': '0.611'}
{'loss': '0.6514', 'grad_norm': '2.208', 'learning_rate': '3.895e-06', 'rewards/chosen': '1.753', 'rewards/rejected': '1.524', 'rewards/accuracies': '0.6875', 'rewards/margins': '0.229', 'logps/chosen': '-84.38', 'logps/rejected': '-86.52', 'logits/chosen': '-1.472', 'logits/rejected': '-1.434', 'epoch': '0.6246'}
{'loss': '0.6953', 'grad_norm': '2.689', 'learning_rate': '3.98e-06', 'rewards/chosen': '1.594', 'rewards/rejected': '1.461', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.1329', 'logps/chosen': '-84.25', 'logps/rejected': '-83.03', 'logits/chosen': '-1.449', 'logits/rejected': '-1.461', 'epoch': '0.6382'}
{'loss': '0.7022', 'grad_norm': '2.288', 'learning_rate': '4.065e-06', 'rewards/chosen': '1.632', 'rewards/rejected': '1.457', 'rewards/accuracies': '0.5875', 'rewards/margins': '0.1746', 'logps/chosen': '-84.37', 'logps/rejected': '-83.52', 'logits/chosen': '-1.474', 'logits/rejected': '-1.464', 'epoch': '0.6517'}
{'loss': '0.7144', 'grad_norm': '2.511', 'learning_rate': '4.15e-06', 'rewards/chosen': '1.441', 'rewards/rejected': '1.339', 'rewards/accuracies': '0.525', 'rewards/margins': '0.1026', 'logps/chosen': '-83.74', 'logps/rejected': '-84.26', 'logits/chosen': '-1.523', 'logits/rejected': '-1.489', 'epoch': '0.6653'}
{'loss': '0.7341', 'grad_norm': '2.602', 'learning_rate': '4.235e-06', 'rewards/chosen': '1.55', 'rewards/rejected': '1.495', 'rewards/accuracies': '0.55', 'rewards/margins': '0.05561', 'logps/chosen': '-82.19', 'logps/rejected': '-84.87', 'logits/chosen': '-1.508', 'logits/rejected': '-1.476', 'epoch': '0.6789'}
{'loss': '0.7279', 'grad_norm': '2.477', 'learning_rate': '4.32e-06', 'rewards/chosen': '1.367', 'rewards/rejected': '1.315', 'rewards/accuracies': '0.525', 'rewards/margins': '0.05239', 'logps/chosen': '-76.78', 'logps/rejected': '-81.62', 'logits/chosen': '-1.532', 'logits/rejected': '-1.519', 'epoch': '0.6925'}
